   DEPTH             VP        VSH          VS
   8986.0000    10395.9385      0.2951   5501.2896
   8986.5000    10457.1113      0.2664   5578.9341
   8987.0000    10623.3232      0.2206   5758.8501
   8987.5000    10388.5312      0.1835   5599.8804
   8988.0000    10388.3057      0.1751   5607.5166
   8988.5000    10426.5830      0.1468   5665.6387
   8989.0000    10595.0391      0.1543   5797.3467
   8989.5000    10822.6748      0.2330   5911.4419
   8990.0000     -999.2500      0.3343   5948.9766
   8990.5000     -999.2500      0.4161   6034.3076
   8991.0000     -999.2500      0.4123   6131.8135
   8991.5000     -999.2500      0.3641   6010.4697
   8992.0000     -999.2500      0.3124   6097.0747
   8992.5000    11158.3477      0.3142   6112.3804
   8993.0000    11514.8066      0.3801   6344.8281
   8993.5000    11717.1211      0.4896   6412.4917
   8994.0000    11713.1406      0.6094   6302.4155
   8994.5000    11684.0449      0.6429   6248.4741
   8995.0000    11572.6006      0.6400   6158.9819
   8995.5000    11690.2324      0.6713   6228.2461
   8996.0000    11232.3203      0.7711   5757.5762
   8996.5000    11404.1914      0.7646   5907.0137
   8997.0000    11099.2480      0.8075   5612.9521
   8997.5000     -999.2500      0.8564   5691.1157
   8998.0000     -999.2500      0.8654   5620.1924
   8998.5000     -999.2500      0.8478   5661.5645
   8999.0000     -999.2500      0.8584   5602.1440
   8999.5000     -999.2500      0.9739   5428.7856
   9000.0000    11250.2725      0.9698   5591.9639
   9000.5000    11043.6318      0.8617   5516.5864
   9001.0000    11493.4600      0.8129   5937.8862
   9001.5000    10917.3701      0.5303   5715.3726
   9002.0000    11075.8926      0.3656   5997.7588
   9002.5000    11633.6807      0.3698   6451.2402
   9003.0000    11774.9346      0.4551   6490.5044
   9003.5000    12008.8076      0.5427   6604.1904
   9004.0000    12019.2471      0.6385   6528.2686
   9004.5000    11858.1738      0.6964   6344.5464
   9005.0000    11550.0625      0.8321   5967.6372
   9005.5000    11234.2510      0.9187   5625.0737
   9006.0000    10979.5742      0.9686   5364.4790
   9006.5000    10937.8027      0.9338   5361.0620
   9007.0000    11252.1533      0.8610   5692.3560
   9007.5000    11403.8037      0.7857   5887.5840
   9008.0000    11102.2422      0.7201   5695.3555
   9008.5000    10980.0635      0.5946   5708.4258
   9009.0000    11088.3184      0.4015   5975.0869
   9009.5000    10928.5605      0.2035   6025.5000
   9010.0000    10984.9043      0.1443   6126.0615
   9010.5000    11089.0713      0.1620   6194.8208
   9011.0000    11047.2988      0.1793   6144.9224
   9011.5000    11054.7725      0.1877   6143.2607
   9012.0000    10957.8506      0.1726   6077.9980
   9012.5000    11051.9473      0.1704   6156.8237
   9013.0000    11136.9463      0.1709   6225.7197
   9013.5000    11029.6191      0.1837   6126.3945
   9014.0000    10913.9189      0.1813   6033.9980
   9014.5000     -999.2500      0.1553   6055.4697
   9015.0000     -999.2500      0.1627   5996.9824
   9015.5000     -999.2500      0.2100   5957.9272
   9016.0000     -999.2500      0.2236   6057.9365
   9016.5000     -999.2500      0.2113   6276.4209
   9017.0000    11440.4648      0.2713   6382.0859
   9017.5000    11513.6533      0.3450   6375.4307
   9018.0000    11571.0156      0.3772   6393.3950
   9018.5000    11459.3848      0.3523   6324.5371
   9019.0000    10965.2275      0.3292   5940.0771
   9019.5000    10761.9023      0.3442   5758.4863
   9020.0000    10454.1602      0.3152   5530.8076
   9020.5000    10420.4912      0.2648   5550.0010
   9021.0000    10419.1494      0.2218   5589.2471
   9021.5000    10455.7295      0.1937   5645.7573
   9022.0000    10714.7539      0.1421   5907.0820
   9022.5000    11290.7373      0.1170   6399.9316
   9023.0000    11719.5723      0.2260   6649.6157
   9023.5000    11872.3682      0.4127   6607.7622
   9024.0000    11785.3438      0.4979   6460.9385
   9024.5000    11879.2344      0.4335   6594.9102
   9025.0000    11470.2383      0.3313   6352.2988
   9025.5000    11143.9395      0.3190   6096.3071
   9026.0000    11237.0107      0.5408   5970.8179
   9026.5000    11605.6279      0.6929   6138.9863
   9027.0000    11605.8828      0.8171   6027.8682
   9027.5000    11606.1426      0.9433   5915.0640
   9028.0000    11606.3984      1.0000   5864.3750
   9028.5000    11606.6533      1.0000   5864.6250
   9029.0000    11606.9131      1.0000   5864.8750
   9029.5000    11607.1650      1.0000   5864.8750
   9030.0000    11607.4258      0.9356   5922.9048
   9030.5000    11607.6807      0.9947   5869.9966
   9031.0000    11607.9365      1.0000   5865.6250
   9031.5000    11608.1963      1.0000   5866.0000
   9032.0000    11608.4521      1.0000   5866.1250
   9032.5000    11608.7080      1.0000   5866.3750
   9033.0000    11076.3252      0.9543   5459.4214
   9033.5000    11193.9277      0.6895   5799.7783
   9034.0000    11357.8643      0.4771   6128.4951
   9034.5000    11430.1992      0.3521   6300.8594
   9035.0000    11399.9287      0.3376   6289.2183
   9035.5000    11467.9072      0.3800   6306.5098
   9036.0000    11446.4805      0.4143   6258.0239
   9036.5000    11416.7764      0.3947   6251.3354
   9037.0000    11235.6064      0.3408   6151.5684
   9037.5000    10633.2803      0.2752   5716.4014
   9038.0000    10597.0615      0.2152   5742.3247
   9038.5000    10456.9775      0.2153   5626.6118
   9039.0000    10499.8281      0.2360   5642.6328
   9039.5000    10756.3682      0.2663   5826.0269
   9040.0000    10975.8193      0.2735   5999.9102
   9040.5000    11066.4375      0.2524   6093.5771
   9041.0000    11375.1133      0.2627   6336.5078
   9041.5000    11452.3936      0.2803   6383.7261
   9042.0000    11597.5361      0.2984   6485.6968
   9042.5000    11780.2979      0.3233   6612.2227
   9043.0000    11947.8154      0.4079   6673.3936
   9043.5000    12036.9805      0.5766   6597.3301
   9044.0000    12095.2461      0.7387   6502.4995
   9044.5000    12060.8516      0.8150   6407.2212
   9045.0000    11666.6104      0.7771   6114.1182
   9045.5000    11783.8945      0.6448   6329.2129
   9046.0000    10982.5439      0.4734   5821.7979
   9046.5000    10927.5342      0.3444   5895.0322
   9047.0000    11114.4580      0.3079   6082.1821
   9047.5000    11605.5977      0.3719   6426.4805
   9048.0000    11668.6309      0.4555   6403.1685
   9048.5000    11568.2197      0.6070   6184.8682
   9049.0000    11617.1689      0.8418   6015.0918
   9049.5000    11617.4248      0.9152   5949.7798
   9050.0000    11617.6807      0.9302   5936.2529
   9050.5000    11670.5029      0.8845   6021.4482
   9051.0000    12003.4580      0.7997   6373.0977
   9051.5000    11892.4033      0.6930   6375.7886
   9052.0000    11348.5352      0.6786   5938.3867
   9052.5000    11123.4229      0.5983   5824.1982
   9053.0000    10726.6758      0.4489   5632.3184
   9053.5000    10633.9736      0.2622   5728.9600
   9054.0000    10729.0928      0.1534   5908.3169
   9054.5000    10996.1963      0.1279   6150.3379
   9055.0000    10879.8691      0.1196   6062.9683
   9055.5000    10905.1367      0.1116   6090.9995
   9056.0000    11187.8926      0.1028   6329.3462
   9056.5000    11190.6738      0.1338   6303.3579
   9057.0000    11383.7891      0.2334   6370.1602
   9057.5000    11512.8604      0.4165   6310.4834
   9058.0000    12173.4775      0.6182   6672.4795
   9058.5000    12780.0840      0.7310   7068.2251
   9059.0000    12773.6084      0.7513   7045.6631
   9059.5000    12669.1367      0.7394   6971.0693
   9060.0000    12601.0684      0.7026   6947.6904
   9060.5000    12507.5195      0.6997   6874.1362
   9061.0000    12315.7598      0.6764   6737.7666
   9061.5000    11831.8691      0.6614   6354.0283
   9062.0000    11446.6025      0.6178   6074.6592
   9062.5000    11224.8691      0.5465   5955.6084
   9063.0000    11062.0146      0.4443   5914.2183
   9063.5000    10834.0557      0.3109   5848.7974
   9064.0000    10896.5273      0.2137   5989.8525
   9064.5000    11242.2061      0.1723   6310.2339
   9065.0000    11648.5703      0.2375   6581.7036
   9065.5000    11876.3008      0.3554   6661.7715
   9066.0000    12412.9912      0.4199   7040.2266
   9066.5000    12331.5039      0.4903   6912.9375
   9067.0000    12154.6475      0.6419   6636.2529
   9067.5000    12120.9209      0.7174   6542.4629
   9068.0000    11870.7930      0.7890   6273.0259
   9068.5000    11958.7090      0.8139   6323.4897
   9069.0000    11704.2461      0.7663   6155.0405
   9069.5000    11827.1260      0.6192   6387.4966
   9070.0000    12089.2510      0.5692   6646.5806
   9070.5000    12181.6367      0.6090   6687.1777
   9071.0000    12205.1318      0.6831   6641.4937
   9071.5000    11852.7461      0.7650   6279.2437
   9072.0000    11932.5371      0.8190   6297.4561
   9072.5000    11953.7031      0.6808   6437.0518
   9073.0000    11995.4502      0.3872   6730.4912
   9073.5000    12104.1865      0.2759   6916.5654
   9074.0000    12225.8984      0.3588   6942.2510
   9074.5000    12293.4893      0.6057   6781.3184
   9075.0000    11945.8096      0.7251   6391.4009
   9075.5000    11670.6318      0.8890   6017.4453
   9076.0000    11071.1143      1.0000   5413.0000
   9076.5000    10866.6582      1.0000   5240.0000
   9077.0000    10512.7295      1.0000   4939.3750
   9077.5000    10513.8838      1.0000   4940.2500
   9078.0000    10658.7803      1.0000   5063.5000
   9078.5000    10832.9639      1.0000   5211.2500
   9079.0000    10882.6475      0.9785   5273.4497
   9079.5000    11012.8564      0.9009   5454.5376
   9080.0000    11165.1914      0.7971   5677.6821
   9080.5000    11594.1455      0.6918   6130.3716
   9081.0000    11519.1074      0.5980   6152.3203
   9081.5000    11213.8057      0.5402   5952.2715
   9082.0000    11159.2803      0.4885   5954.2998
   9082.5000    10981.0723      0.4226   5867.3438
   9083.0000    10892.5850      0.3474   5863.3809
   9083.5000    10784.9922      0.2794   5837.5259
   9084.0000    10684.3164      0.2601   5772.4756
   9084.5000    10735.9502      0.2688   5807.0039
   9085.0000    10931.4785      0.2737   5963.2769
   9085.5000    10625.1074      0.2729   5711.7686
   9086.0000    10559.9121      0.2393   5689.1729
   9086.5000    10663.0635      0.1982   5812.5015
   9087.0000    10507.3193      0.1462   5732.7383
   9087.5000    10477.3525      0.1073   5744.5293
   9088.0000    10683.0254      0.1653   5859.4785
   9088.5000    10710.3447      0.3470   5713.3032
   9089.0000    11030.6826      0.7332   5623.5552
   9089.5000    11168.2012      0.6564   5808.5449
   9090.0000    11596.0166      0.6880   6135.3398
   9090.5000    11760.5957      0.5778   6369.5918
   9091.0000    12057.1836      0.5910   6601.2500
   9091.5000    12185.1523      0.5848   6711.2227
   9092.0000    12159.7764      0.5160   6750.9668
   9092.5000    11893.3184      0.4714   6572.8682
   9093.0000    11814.3633      0.4421   6534.3613
   9093.5000    11453.1426      0.4321   6247.5010
   9094.0000    11249.3926      0.3226   6179.5107
   9094.5000    10831.9795      0.2294   5922.4141
   9095.0000    11150.9131      0.1897   6220.0078
   9095.5000    11431.9492      0.1937   6445.1406
   9096.0000    11692.9219      0.2260   6627.9766
   9096.5000    11891.1738      0.2805   6740.1836
   9097.0000    12389.5967      0.3631   7070.7437
   9097.5000    12599.3779      0.5872   7045.9883
   9098.0000    12578.3584      0.6970   6934.0557
   9098.5000    12646.7139      0.7466   6946.7891
   9099.0000    12618.2041      0.7385   6930.5454
   9099.5000    12662.3438      0.7292   6974.4043
   9100.0000    12660.2109      0.7269   6974.7607
   9100.5000    12607.3174      0.6922   6961.6338
   9101.0000    12704.8555      0.6798   7051.5264
   9101.5000    12772.0586      0.6042   7170.9717
   9102.0000    13156.5664      0.5861   7495.3643
   9102.5000    13416.7266      0.5386   7743.1982
   9103.0000    13964.4141      0.5499   8165.5532
   9103.5000    14148.0215      0.5864   8277.8389
   9104.0000    14385.2217      0.6149   8437.4316
   9104.5000    14311.6611      0.5860   8405.3281
   9105.0000    14161.2812      0.5447   8323.8945
   9105.5000     -999.2500      0.5115   8197.3076
   9106.0000     -999.2500      0.4643   8228.5117
   9106.5000     -999.2500      0.4240   8228.8711
