   DEPTH             VP        VSH          VS
   9210.5000    13442.5371      0.3595   7915.7871
   9211.0000    13661.4082      0.3998   8054.7529
   9211.5000    13810.6797      0.4374   8140.3970
   9212.0000    13887.8467      0.4804   8164.5400
   9212.5000    13995.9512      0.5243   8212.0527
   9213.0000    13843.6689      0.5625   8060.0439
   9213.5000     -999.2500      0.5997   8127.9155
   9214.0000     -999.2500      0.6390   7986.4087
   9214.5000     -999.2500      0.6415   7958.2217
   9215.0000     -999.2500      0.6213   7925.5264
   9215.5000     -999.2500      0.6118   7910.3408
   9216.0000    13659.7549      0.6161   7869.6484
   9216.5000    13528.0498      0.6476   7738.8701
   9217.0000    13500.5576      0.6824   7687.4336
   9217.5000    13457.6562      0.7057   7633.7334
   9218.0000    13396.4209      0.6918   7596.7549
   9218.5000    13496.3154      0.6777   7688.1001
   9219.0000    13258.3320      0.7090   7472.0620
   9219.5000    13262.5459      0.7612   7430.8784
   9220.0000    13225.2588      0.7917   7375.1753
   9220.5000    13163.0586      0.8149   7305.3848
   9221.0000    13003.4434      0.8280   7165.8062
   9221.5000    12890.0664      0.8535   7052.2837
   9222.0000    12772.6123      0.9216   6898.5566
   9222.5000    12727.5713      0.9137   6868.5649
   9223.0000    12758.3955      0.8522   6946.5557
   9223.5000    12715.2354      0.7248   7021.2466
   9224.0000    12916.9590      0.6393   7257.6860
   9224.5000    13292.2031      0.5911   7599.3818
   9225.0000    13432.7979      0.5718   7727.5874
   9225.5000    13589.5068      0.5780   7846.5840
   9226.0000    13678.8018      0.6160   7884.8896
   9226.5000    13920.1719      0.6594   8037.8125
   9227.0000    14042.4492      0.7016   8097.5454
   9227.5000    14040.2236      0.7347   8067.6133
   9228.0000    13816.9053      0.7696   7863.1895
   9228.5000    13540.7324      0.7764   7639.5518
   9229.0000    12920.2139      0.7489   7166.3677
   9229.5000    12679.5791      0.6495   7057.1572
   9230.0000    12442.0361      0.5144   6981.5918
   9230.5000    12202.9238      0.4249   6865.8174
   9231.0000    12358.0078      0.4326   6984.6562
   9231.5000    12481.6611      0.4754   7047.5859
   9232.0000    12674.6133      0.4952   7186.2510
   9232.5000    12723.5244      0.4762   7241.9863
   9233.0000    12948.6719      0.4845   7415.7969
   9233.5000    12969.2773      0.5061   7413.7969
   9234.0000    13166.9150      0.5363   7546.1328
   9234.5000    13320.6377      0.5826   7629.3901
   9235.0000    13312.2715      0.6202   7590.6299
   9235.5000    13455.9951      0.6542   7676.0225
   9236.0000    13478.3613      0.6261   7717.7334
   9236.5000    13479.3955      0.6114   7731.0000
   9237.0000    13351.7100      0.6125   7628.4814
   9237.5000    13562.8271      0.6362   7776.0518
   9238.0000    13883.8604      0.6684   8001.7383
   9238.5000    13715.8330      0.6932   7848.5933
   9239.0000    13489.7002      0.6938   7669.1602
   9239.5000    13510.4229      0.6290   7740.6343
   9240.0000    13415.9141      0.5029   7772.9023
   9240.5000    13498.5566      0.3550   7964.1816
   9241.0000    13499.5791      0.2916   8018.6982
   9241.5000    13441.2930      0.3105   7956.5811
   9242.0000    13552.7930      0.3478   8013.1104
   9242.5000    13565.0029      0.3938   7983.6167
   9243.0000    13573.8447      0.4365   7954.4678
   9243.5000    13587.1387      0.4839   7924.6387
   9244.0000    13286.8438      0.5292   7647.8779
   9244.5000    13448.2861      0.5498   7758.6636
   9245.0000    13295.3750      0.5915   7601.6221
   9245.5000    13181.3291      0.5896   7512.1904
   9246.0000    13543.3525      0.5666   7819.7476
   9246.5000    13627.6201      0.5245   7922.1309
   9247.0000    13464.2334      0.5016   7812.1572
   9247.5000    13444.2305      0.5118   7787.8433
   9248.0000    13595.8906      0.5433   7881.2134
   9248.5000    13632.8447      0.5655   7891.5713
   9249.0000    13728.8389      0.5550   7976.1045
   9249.5000    13798.0732      0.5373   8045.6538
   9250.0000    13853.6719      0.5151   8108.2856
   9250.5000    13968.8604      0.5334   8183.0342
   9251.0000     -999.2500      0.5624   7943.9170
   9251.5000     -999.2500      0.5660   7790.4473
   9252.0000     -999.2500      0.5476   7734.2891
   9252.5000     -999.2500      0.5135   7576.1792
   9253.0000     -999.2500      0.5003   7621.2949
   9253.5000     -999.2500      0.5163   7705.8906
   9254.0000     -999.2500      0.5456   7726.4971
   9254.5000     -999.2500      0.6030   7746.1602
   9255.0000     -999.2500      0.6643   7764.5449
   9255.5000     -999.2500      0.7232   7762.6353
   9256.0000     -999.2500      0.7607   7701.9155
   9256.5000     -999.2500      0.7812   7553.5874
   9257.0000     -999.2500      0.8003   7444.1914
   9257.5000     -999.2500      0.7878   7373.5879
   9258.0000     -999.2500      0.7750   7390.7695
   9258.5000    13293.0693      0.7718   7446.3203
   9259.0000    13338.5273      0.7658   7487.6030
   9259.5000    13399.1318      0.7399   7557.9956
   9260.0000    13378.5107      0.7362   7544.7300
   9260.5000    13431.8369      0.7470   7577.9741
   9261.0000    13489.3926      0.7620   7610.9526
   9261.5000    13547.7090      0.7578   7661.0742
   9262.0000    13605.5820      0.7575   7706.9102
   9262.5000    13623.9824      0.7255   7748.7935
   9263.0000    13692.3955      0.6998   7824.4507
   9263.5000    13815.0205      0.7050   7916.6436
   9264.0000    13691.5674      0.7139   7811.8623
   9264.5000    13791.3486      0.7424   7866.2656
   9265.0000    13725.4521      0.7385   7817.6333
   9265.5000    13703.7578      0.7635   7779.4131
   9266.0000    13698.9512      0.7790   7762.3657
   9266.5000    13482.5557      0.8361   7542.6533
   9267.0000    13497.6641      0.8921   7506.9102
   9267.5000    13458.8193      0.9216   7450.8955
   9268.0000    13480.5938      0.9162   7472.9248
   9268.5000    13580.6709      0.8983   7567.5278
   9269.0000    13692.5166      0.8921   7661.1426
   9269.5000    13759.5488      0.9093   7699.4429
   9270.0000    13841.3389      0.8700   7797.1597
   9270.5000    13922.0361      0.8239   7899.4854
   9271.0000    13997.2158      0.8034   7975.6489
   9271.5000    14040.6230      0.8229   7992.9668
   9272.0000    13865.0352      0.8080   7868.3652
   9272.5000    13749.5859      0.7337   7840.7666
   9273.0000    13736.1396      0.5767   7963.5068
   9273.5000    13400.9072      0.4331   7820.3345
   9274.0000    13402.9932      0.3329   7907.1636
